Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust
18/12/2023,16.6,31.6,0,13,13.2,E,56,7:21
19/12/2023,16.3,32.8,0,12,12.3,E,63,4:01
